"","Site","Species","Group","Length..mm.","WW..g.","Depth","Lipid","Tissue","d13C","d15N","TP"
"66","SOTS","Gymnosomata","Pteropod",9,NA,"Lmeso","y","Whole",-23.51952041,6.140802,2.69128163398693
"67","SOTS","Gymnosomata","Pteropod",12,NA,"Lmeso","y","Whole",-23.23694878,4.706713375,2.2694908619281
"68","SOTS","Cranchidae","Squid",12,0.42,"Epi","n","Whole",-19.806,5.774,2.58339869281046
"69","SOTS","Cranchidae","Squid",12,0.42,"Epi","y","Whole",-20.86426259,6.33,2.74692810457516
"70","SOTS","Cranchidae","Squid",4,NA,"Epi","y","Whole",-21.7334867,8.57,3.40575163398693
"71","SOTS","Cranchidae","Squid",17,0.6,"Lmeso","y","Whole",-22.6698608566667,7.44666666666667,3.07535947712418
"72","SOTS","Cranchidae","Squid",20,1.2,"Lmeso","y","Whole",-22.39364598,7.04,2.95575163398693
"73","SOTS","Cranchidae","Squid",49,2.2,"Lmeso","y","Whole",-21.63455803,6.17,2.69986928104575
"74","SOTS","Cranchidae","Squid",65,NA,"Lmeso","y","Whole",-21.73536318,5.458704274,2.49066465575163
"75","SOTS","Cranchidae","Squid",27,NA,"Lmeso","y","Whole",-20.96597518,5.939624857,2.63211188604575
"76","SOTS","Cranchidae","Squid",27,NA,"Lmeso","y","Whole",-22.40726627,5.401912093,2.47396107310458
"77","SOTS","Cranchidae","Squid",27,NA,"Lmeso","y","Whole",-22.53386031,5.242146025,2.42697105310458
"78","SOTS","Cranchidae","Squid",25,NA,"Lmeso","y","Whole",-22.96294233,5.974539072,2.64238077281046
"79","SOTS","Pyrosoma atlanticum","Tunicate",60,5.84,"Meso","n","Subsample",-23.568,2.434,1.60104575163399
"80","SOTS","Pyrosoma atlanticum","Tunicate",40,4.3,"Meso","n","Subsample",-23.72,2.32,1.56751633986928
"81","SOTS","Pyrosoma atlanticum","Tunicate",55,10.2,"Meso","y","Whole",-24.23,2.8,1.70869281045752
"82","SOTS","Pyrosoma atlanticum","Tunicate",60,5.84,"Meso","y","Whole",-24.0433333333333,2.07,1.49398692810458
"83","SOTS","Pyrosoma atlanticum","Tunicate",40,4.3,"Meso","y","Whole",-24.04,1.58,1.34986928104575
"84","SOTS","Pyrosoma atlanticum","Tunicate",40,4.18,"Meso","y","Whole",-23.62,3.87,2.02339869281046
"85","SOTS","Pyrosoma atlanticum","Tunicate",40,10.8,"Meso","y","Whole",-24.28,7.71,3.15281045751634
"86","SOTS","Pyrosoma atlanticum","Tunicate",40,10.8,"Meso","y","Whole",-24.2,5.87,2.6116339869281
"87","SOTS","Pyrosoma atlanticum","Tunicate",40,10.8,"Meso","y","Whole",-24.27,5.46,2.49104575163399
