,Site,daylight,Depth_Stratum,Deployment,ACat,Taxa_Groups,Acoustic_Category,Taxa_updated,CAAB_updated,nos,weight_g,av_weight,Weight_Std_gm3_gps,Abd_Std_nosm3_gps,Weight_Std_gm3_sp,Abd_Std_nosm3_sp,datetime_UTC_start,datetime_UTC_stop,lat_decdeg_start,long_decdeg_start,lat_decdeg_stop,long_decdeg_stop,VolumeFiltered_m3_speed,VolumeFiltered_m3_gps,Taxa_PLAOS
954,55S,Night,Lmeso,35,Prawn,Crustaceans,Crustaceans,Acanthephyra quadrispinosa,28735007,2,7,3.5,0.00010972,3.13E-05,0.000118113,3.37E-05,30/12/2020 15:43,30/12/2020 17:43,-54.1705,-137.5628333,-54.19066667,-137.6135,59265.18528,63798.7744,Prawn
1011,55S,Day,Lmeso,36,Prawn,Crustaceans,Crustaceans,Acanthephyra quadrispinosa,28735007,6,29,4.833333333,0.000458435,9.48E-05,0.000489326,0.00010124,31/12/2020 1:36,31/12/2020 3:36,-54.11333333,-137.5636667,-54.13416667,-137.6128333,59265.18528,63258.70388,Prawn
1162,58S,Day,Lmeso,41,Prawn,Crustaceans,Crustaceans,Acanthephyra quadrispinosa,28735007,3,28,9.333333333,0.000481667,5.16E-05,0.000472453,5.06E-05,4/01/2021 2:39,4/01/2021 4:39,-56.02316667,-140.6806667,-56.046,-140.7225,59265.18528,58131.46027,Prawn
1306,58S,Night,Lmeso,46,Prawn,Crustaceans,Crustaceans,Acanthephyra quadrispinosa,28735007,2,14,7,0.00022525,3.22E-05,0.000236226,3.37E-05,6/01/2021 15:11,6/01/2021 17:11,-56.07033333,-140.4961667,-56.07683333,-140.5576667,59265.18528,62153.2972,Prawn
1338,58S,Day,Lmeso,47,Prawn,Crustaceans,Crustaceans,Acanthephyra quadrispinosa,28735007,1,6,6,0.00011564,1.93E-05,0.00010124,1.69E-05,7/01/2021 4:55,7/01/2021 6:55,-56.07066667,-140.5386667,-56.0785,-140.589,59265.18528,51885.17818,Prawn
1410,55S,Day,Targeted_850to750,52,Prawn,Crustaceans,Crustaceans,Acanthephyra quadrispinosa,28735007,1,10,10,0.000483941,4.84E-05,0.000506199,5.06E-05,9/01/2021 1:36,9/01/2021 2:16,-56.117,-140.4165,-56.117,-140.4373333,19755.06176,20663.67985,Prawn
1439,58S,Night,Meso,53,Prawn,Crustaceans,Crustaceans,Acanthephyra quadrispinosa,28735007,1,3,3,0.000163877,5.46E-05,0.00015186,5.06E-05,9/01/2021 14:23,9/01/2021 15:03,-56.12733333,-140.3933333,-56.12916667,-140.4115,19755.06176,18306.38002,Prawn
21,Trawl,Day,Integrated,1,Prawn,Crustaceans,Crustaceans,Acanthephyra spp.,28735901,2,0.5,0.25,8.61E-06,3.44E-05,1.27E-05,5.06E-05,5/12/2020 9:16,5/12/2020 10:36,-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,Prawn
154,SOTS,Day,Lmeso,7,Prawn,Crustaceans,Crustaceans,Acanthephyra spp.,28735901,9,5,0.555555556,7.51E-05,0.0001352,8.44E-05,0.00015186,12/12/2020 4:25,12/12/2020 6:25,-46.90333333,-140.614,-46.9305,-140.5763333,59265.18528,66568.16634,Prawn
243,SOTS,Night,Meso,12,Prawn,Crustaceans,Crustaceans,Acanthephyra spp.,28735901,6,3.5,0.583333333,0.000151487,0.000259691,0.00017717,0.00030372,14/12/2020 14:23,14/12/2020 15:03,-46.9205,-140.6363333,-46.93233333,-140.6441667,19755.06176,23104.36243,Prawn
433,SOTS,Night,Meso,18,Prawn,Crustaceans,Crustaceans,Acanthephyra spp.,28735901,2,1,0.5,1.91E-05,3.81E-05,5.06E-05,0.00010124,19/12/2020 14:28,19/12/2020 15:08,-46.91616667,-140.6538333,-46.91683333,-140.6106667,19755.06176,52471.74474,Prawn
501,NA,NA,NA,21,Prawn,Crustaceans,Crustaceans,Acanthephyra spp.,28735901,1,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prawn
758,55S,Night,Lmeso,29,Prawn,Crustaceans,Crustaceans,Acanthephyra spp.,28735901,1,0.5,0.5,1.52E-06,3.04E-06,8.44E-06,1.69E-05,26/12/2020 15:44,26/12/2020 17:44,-54.21633333,-137.4196667,-54.21516667,-137.1031667,59265.18528,329265.1773,Prawn
333,SOTS,Day,Lmeso,14,worms,other,other,Alciopidae - undifferentiated,22042000,1,0.5,0.5,7.71E-06,1.54E-05,8.44E-06,1.69E-05,16/12/2020 3:20,16/12/2020 5:20,-46.90783333,-140.646,-46.88283333,-140.6848333,59265.18528,64862.60608,Other
614,55S,Night,Meso,25,Siphonophore,Gelatinous_Active,G_nGB,Amphicaryon acaule,11095003,0,449,NA,0.398051865,0,0.022728352,0,24/12/2020 17:00,24/12/2020 17:40,-54.21316667,-137.1393333,-54.21366667,-137.1386667,19755.06176,1127.993709,Siphonophore
766,55S,Night,Lmeso,29,Siphonophore,Gelatinous_Active,G_nGB,Amphicaryon acaule,11095003,0,250,NA,0.000759266,0,0.004218328,0,26/12/2020 15:44,26/12/2020 17:44,-54.21633333,-137.4196667,-54.21516667,-137.1031667,59265.18528,329265.1773,Siphonophore
862,55S,Day,Meso,32,Siphonophore,Gelatinous_Active,G_nGB,Amphicaryon acaule,11095003,0,203,NA,0.008653216,0,0.010275847,0,28/12/2020 22:51,28/12/2020 23:31,-54.21066667,-137.4336667,-54.201,-137.449,19755.06176,23459.48729,Siphonophore
908,55S,Night,Meso,34,Siphonophore,Gelatinous_Active,G_nGB,Amphicaryon acaule,11095003,0,430,NA,0.017368394,0,0.021766573,0,29/12/2020 13:42,29/12/2020 14:22,-54.17216667,-137.4143333,-54.17483333,-137.4376667,19755.06176,24757.61468,Siphonophore
453,SOTS,Day,200-100m_scattering_layer,19,Siphonophore,Gelatinous_Active,G_nGB,Amphicaryon spp.,11095903,28,24,0.857142857,0.001806509,0.002107593,0.002429757,0.002834717,19/12/2020 4:15,19/12/2020 4:35,-46.91433333,-140.6386667,-46.91533333,-140.6495,9877.53088,13285.29518,Siphonophore
961,55S,Night,Lmeso,35,Siphonophore,Gelatinous_Active,G_nGB,Amphicaryon spp.,11095903,0,225,NA,0.003526714,0,0.003796495,0,30/12/2020 15:43,30/12/2020 17:43,-54.1705,-137.5628333,-54.19066667,-137.6135,59265.18528,63798.7744,Siphonophore
1311,58S,Night,Lmeso,46,Siphonophore,Gelatinous_Active,G_nGB,Amphicaryon spp.,11095903,0,120,NA,0.00193071,0,0.002024798,0,6/01/2021 15:11,6/01/2021 17:11,-56.07033333,-140.4961667,-56.07683333,-140.5576667,59265.18528,62153.2972,Siphonophore
7,Trawl,Day,Integrated,1,FGB,FGB,FGB,Argyropelecus gigas,37107005,2,2.7,1.35,4.65E-05,3.44E-05,6.83E-05,5.06E-05,5/12/2020 9:16,5/12/2020 10:36,-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,FGB
130,SOTS,Day,Lmeso,7,FGB,FGB,FGB,Argyropelecus gigas,37107005,8,2,0.25,3.00E-05,0.000120178,3.37E-05,0.000134987,12/12/2020 4:25,12/12/2020 6:25,-46.90333333,-140.614,-46.9305,-140.5763333,59265.18528,66568.16634,FGB
262,SOTS,Night,Lmeso,13,FGB,FGB,FGB,Argyropelecus gigas,37107005,3,2.5,0.833333333,4.91E-05,5.89E-05,4.22E-05,5.06E-05,15/12/2020 11:46,15/12/2020 13:46,-46.90983333,-140.637,-46.88583333,-140.6598333,59265.18528,50928.31023,FGB
310,SOTS,Day,Lmeso,14,FGB,FGB,FGB,Argyropelecus gigas,37107005,1,1,1,1.54E-05,1.54E-05,1.69E-05,1.69E-05,16/12/2020 3:20,16/12/2020 5:20,-46.90783333,-140.646,-46.88283333,-140.6848333,59265.18528,64862.60608,FGB
532,SOTS,Day,Lmeso,22,FGB,FGB,FGB,Argyropelecus gigas,37107005,1,36,36,0.000549639,1.53E-05,0.000607439,1.69E-05,20/12/2020 2:51,20/12/2020 4:51,-46.92683333,-140.6515,-46.9575,-140.6813333,59265.18528,65497.47942,FGB
8,Trawl,Day,Integrated,1,FGB,FGB,FGB,Argyropelecus hemigymnus,37107006,1,0.5,0.5,8.61E-06,1.72E-05,1.27E-05,2.53E-05,5/12/2020 9:16,5/12/2020 10:36,-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,FGB
53,SOTS,Day,Meso,3,FGB,FGB,FGB,Argyropelecus hemigymnus,37107006,5,1,0.2,3.90E-05,0.000194946,5.06E-05,0.0002531,10/12/2020 2:28,10/12/2020 3:08,-46.8805,-140.6273333,-46.87166667,-140.644,19755.06176,25648.18426,FGB
80,SOTS,Night,Epi,5,FGB,FGB,FGB,Argyropelecus hemigymnus,37107006,1,0.5,0.5,2.02E-05,4.03E-05,2.53E-05,5.06E-05,10/12/2020 16:55,10/12/2020 17:35,-46.89016667,-140.6136667,-46.88166667,-140.6298333,19755.06176,24801.57669,FGB
131,SOTS,Day,Lmeso,7,FGB,FGB,FGB,Argyropelecus hemigymnus,37107006,1,0.5,0.5,7.51E-06,1.50E-05,8.44E-06,1.69E-05,12/12/2020 4:25,12/12/2020 6:25,-46.90333333,-140.614,-46.9305,-140.5763333,59265.18528,66568.16634,FGB
184,SOTS,Day,Meso,10,FGB,FGB,FGB,Argyropelecus hemigymnus,37107006,2,1,0.5,3.08E-05,6.15E-05,5.06E-05,0.00010124,14/12/2020 4:52,14/12/2020 5:32,-46.9175,-140.6346667,-46.9345,-140.6445,19755.06176,32519.41514,FGB
203,SOTS,Night,Epi,11,FGB,FGB,FGB,Argyropelecus hemigymnus,37107006,1,2,2,8.01E-05,4.00E-05,0.00010124,5.06E-05,14/12/2020 11:23,14/12/2020 12:03,-46.9205,-140.6278333,-46.93333333,-140.6361667,19755.06176,24976.37861,FGB
229,SOTS,Night,Meso,12,FGB,FGB,FGB,Argyropelecus hemigymnus,37107006,12,2,0.166666667,8.66E-05,0.000519382,0.00010124,0.000607439,14/12/2020 14:23,14/12/2020 15:03,-46.9205,-140.6363333,-46.93233333,-140.6441667,19755.06176,23104.36243,FGB
263,SOTS,Night,Lmeso,13,FGB,FGB,FGB,Argyropelecus hemigymnus,37107006,1,0.5,0.5,9.82E-06,1.96E-05,8.44E-06,1.69E-05,15/12/2020 11:46,15/12/2020 13:46,-46.90983333,-140.637,-46.88583333,-140.6598333,59265.18528,50928.31023,FGB
361,SOTS,Day,Meso,16,FGB,FGB,FGB,Argyropelecus hemigymnus,37107006,10,5,0.5,0.00026992,0.00053984,0.0002531,0.000506199,18/12/2020 1:07,18/12/2020 1:47,-46.91616667,-140.6318333,-46.90933333,-140.6433333,19755.06176,18524.01208,FGB
386,SOTS,Night,Epi,17,FGB,FGB,FGB,Argyropelecus hemigymnus,37107006,2,1.5,0.75,0.000146554,0.000195405,7.59E-05,0.00010124,18/12/2020 11:21,18/12/2020 12:01,-46.9155,-140.6348333,-46.91633333,-140.6431667,19755.06176,10235.15194,FGB
416,SOTS,Night,Meso,18,FGB,FGB,FGB,Argyropelecus hemigymnus,37107006,7,2,0.285714286,3.81E-05,0.000133405,0.00010124,0.00035434,19/12/2020 14:28,19/12/2020 15:08,-46.91616667,-140.6538333,-46.91683333,-140.6106667,19755.06176,52471.74474,FGB
448,SOTS,Day,200-100m_scattering_layer,19,FGB,FGB,FGB,Argyropelecus hemigymnus,37107006,2,1,0.5,7.53E-05,0.000150542,0.00010124,0.00020248,19/12/2020 4:15,19/12/2020 4:35,-46.91433333,-140.6386667,-46.91533333,-140.6495,9877.53088,13285.29518,FGB
486,NA,NA,NA,21,FGB,FGB,FGB,Argyropelecus hemigymnus,37107006,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FGB
487,NA,NA,NA,21,FGB,FGB,FGB,Argyropelecus spp.,37107902,2,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FGB
16,Trawl,Day,Integrated,1,Medusa,Gelatinous_Active,G_nGB,Atolla spp.,11123901,1,0.5,0.5,8.61E-06,1.72E-05,1.27E-05,2.53E-05,5/12/2020 9:16,5/12/2020 10:36,-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,Medusa
147,SOTS,Day,Lmeso,7,Medusa,Gelatinous_Active,G_nGB,Atolla wyvillei,11123002,3,0.5,0.166666667,7.51E-06,4.51E-05,8.44E-06,5.06E-05,12/12/2020 4:25,12/12/2020 6:25,-46.90333333,-140.614,-46.9305,-140.5763333,59265.18528,66568.16634,Medusa
275,SOTS,Night,Lmeso,13,Medusa,Gelatinous_Active,G_nGB,Atolla wyvillei,11123002,1,8,8,0.000157084,1.96E-05,0.000134987,1.69E-05,15/12/2020 11:46,15/12/2020 13:46,-46.90983333,-140.637,-46.88583333,-140.6598333,59265.18528,50928.31023,Medusa
320,SOTS,Day,Lmeso,14,Medusa,Gelatinous_Active,G_nGB,Atolla wyvillei,11123002,1,0.5,0.5,7.71E-06,1.54E-05,8.44E-06,1.69E-05,16/12/2020 3:20,16/12/2020 5:20,-46.90783333,-140.646,-46.88283333,-140.6848333,59265.18528,64862.60608,Medusa
426,SOTS,Night,Meso,18,Medusa,Gelatinous_Active,G_nGB,Atolla wyvillei,11123002,1,9,9,0.000171521,1.91E-05,0.000455579,5.06E-05,19/12/2020 14:28,19/12/2020 15:08,-46.91616667,-140.6538333,-46.91683333,-140.6106667,19755.06176,52471.74474,Medusa
544,SOTS,Day,Lmeso,22,Medusa,Gelatinous_Active,G_nGB,Atolla wyvillei,11123002,5,20,4,0.000305355,7.63E-05,0.000337466,8.44E-05,20/12/2020 2:51,20/12/2020 4:51,-46.92683333,-140.6515,-46.9575,-140.6813333,59265.18528,65497.47942,Medusa
702,55S,Day,Lmeso,28,Medusa,Gelatinous_Active,G_nGB,Atolla wyvillei,11123002,19,440,23.15789474,0.005357655,0.000231353,0.007424258,0.000320593,26/12/2020 5:28,26/12/2020 7:28,-54.17466667,-137.0768333,-54.211,-137.1255,59265.18528,82125.47455,Medusa
748,55S,Night,Lmeso,29,Medusa,Gelatinous_Active,G_nGB,Atolla wyvillei,11123002,13,460,35.38461538,0.00139705,3.95E-05,0.007761724,0.000219353,26/12/2020 15:44,26/12/2020 17:44,-54.21633333,-137.4196667,-54.21516667,-137.1031667,59265.18528,329265.1773,Medusa
802,55S,Day,Lmeso,30,Medusa,Gelatinous_Active,G_nGB,Atolla wyvillei,11123002,10,60,6,0.000544064,9.07E-05,0.003037196,0.000506199,27/12/2020 2:28,27/12/2020 3:08,-54.164,-137.2366667,-54.18383333,-137.337,19755.06176,110281.1743,Medusa
945,55S,Night,Lmeso,35,Medusa,Gelatinous_Active,G_nGB,Atolla wyvillei,11123002,12,107,8.916666667,0.001677148,0.000188091,0.001805444,0.00020248,30/12/2020 15:43,30/12/2020 17:43,-54.1705,-137.5628333,-54.19066667,-137.6135,59265.18528,63798.7744,Medusa
1002,55S,Day,Lmeso,36,Medusa,Gelatinous_Active,G_nGB,Atolla wyvillei,11123002,14,293,20.92857143,0.004631774,0.000221313,0.004943881,0.000236226,31/12/2020 1:36,31/12/2020 3:36,-54.11333333,-137.5636667,-54.13416667,-137.6128333,59265.18528,63258.70388,Medusa
1086,58S,Day,Epi,39,Medusa,Gelatinous_Active,G_nGB,Atolla wyvillei,11123002,1,91,91,0.004332154,4.76E-05,0.004606414,5.06E-05,2/01/2021 2:13,2/01/2021 2:53,-57.99083333,-140.7661667,-57.99766667,-140.7843333,19755.06176,21005.71883,Medusa
1155,58S,Day,Lmeso,41,Medusa,Gelatinous_Active,G_nGB,Atolla wyvillei,11123002,8,189,23.625,0.003251252,0.000137619,0.003189056,0.000134987,4/01/2021 2:39,4/01/2021 4:39,-56.02316667,-140.6806667,-56.046,-140.7225,59265.18528,58131.46027,Medusa
1201,58S,Night,Lmeso,42,Medusa,Gelatinous_Active,G_nGB,Atolla wyvillei,11123002,14,168,12,0.001217557,0.000101463,0.002834717,0.000236226,4/01/2021 12:38,4/01/2021 14:38,-56.0195,-140.6226667,-56.05616667,-140.745,59265.18528,137981.272,Medusa
1297,58S,Night,Lmeso,46,Medusa,Gelatinous_Active,G_nGB,Atolla wyvillei,11123002,15,377,25.13333333,0.006065648,0.000241339,0.006361239,0.0002531,6/01/2021 15:11,6/01/2021 17:11,-56.07033333,-140.4961667,-56.07683333,-140.5576667,59265.18528,62153.2972,Medusa
1332,58S,Day,Lmeso,47,Medusa,Gelatinous_Active,G_nGB,Atolla wyvillei,11123002,9,136,15.11111111,0.002621172,0.00017346,0.002294771,0.00015186,7/01/2021 4:55,7/01/2021 6:55,-56.07066667,-140.5386667,-56.0785,-140.589,59265.18528,51885.17818,Medusa
1405,55S,Day,Targeted_850to750,52,Medusa,Gelatinous_Active,G_nGB,Atolla wyvillei,11123002,7,62,8.857142857,0.003000434,0.000338759,0.003138436,0.00035434,9/01/2021 1:36,9/01/2021 2:16,-56.117,-140.4165,-56.117,-140.4373333,19755.06176,20663.67985,Medusa
132,SOTS,Day,Lmeso,7,FGB,FGB,FGB,Avocettina spp.,37076005,1,67,67,0.001006487,1.50E-05,0.001130512,1.69E-05,12/12/2020 4:25,12/12/2020 6:25,-46.90333333,-140.614,-46.9305,-140.5763333,59265.18528,66568.16634,FGB
133,SOTS,Day,Lmeso,7,FGB,FGB,FGB,Bathylagidae - undifferentiated,37098000,3,2,0.666666667,3.00E-05,4.51E-05,3.37E-05,5.06E-05,12/12/2020 4:25,12/12/2020 6:25,-46.90333333,-140.614,-46.9305,-140.5763333,59265.18528,66568.16634,FGB
311,SOTS,Day,Lmeso,14,FGB,FGB,FGB,Bathylagidae - undifferentiated,37098000,3,1,0.333333333,1.54E-05,4.63E-05,1.69E-05,5.06E-05,16/12/2020 3:20,16/12/2020 5:20,-46.90783333,-140.646,-46.88283333,-140.6848333,59265.18528,64862.60608,FGB
124,SOTS,Day,Lmeso,7,F,F,F,Bathylagus spp.,37098501,2,45,22.5,0.000675999,3.00E-05,0.000759299,3.37E-05,12/12/2020 4:25,12/12/2020 6:25,-46.90333333,-140.614,-46.9305,-140.5763333,59265.18528,66568.16634,F
259,SOTS,Night,Lmeso,13,F,F,F,Bathylagus spp.,37098903,1,1,1,1.96E-05,1.96E-05,1.69E-05,1.69E-05,15/12/2020 11:46,15/12/2020 13:46,-46.90983333,-140.637,-46.88583333,-140.6598333,59265.18528,50928.31023,F
523,SOTS,Day,Lmeso,22,F,F,F,Bathylagus spp.,37098501,2,2,1,3.05E-05,3.05E-05,3.37E-05,3.37E-05,20/12/2020 2:51,20/12/2020 4:51,-46.92683333,-140.6515,-46.9575,-140.6813333,59265.18528,65497.47942,F
524,SOTS,Day,Lmeso,22,F,F,F,Bathylagus spp.,37098903,3,10,3.333333333,0.000152678,4.58E-05,0.000168733,5.06E-05,20/12/2020 2:51,20/12/2020 4:51,-46.92683333,-140.6515,-46.9575,-140.6813333,59265.18528,65497.47942,F
689,55S,Day,Lmeso,28,F,F,F,Bathylagus spp.,37098501,8,64,8,0.000779295,9.74E-05,0.001079892,0.000134987,26/12/2020 5:28,26/12/2020 7:28,-54.17466667,-137.0768333,-54.211,-137.1255,59265.18528,82125.47455,F
731,55S,Night,Lmeso,29,F,F,F,Bathylagus spp.,37098501,8,2,0.25,6.07E-06,2.43E-05,3.37E-05,0.000134987,26/12/2020 15:44,26/12/2020 17:44,-54.21633333,-137.4196667,-54.21516667,-137.1031667,59265.18528,329265.1773,F
787,55S,Day,Lmeso,30,F,F,F,Bathylagus spp.,37098501,5,134,26.8,0.001215076,4.53E-05,0.006783072,0.0002531,27/12/2020 2:28,27/12/2020 3:08,-54.164,-137.2366667,-54.18383333,-137.337,19755.06176,110281.1743,F
893,55S,Night,Meso,34,F,F,F,Bathylagus spp.,37098501,1,4,4,0.000161566,4.04E-05,0.00020248,5.06E-05,29/12/2020 13:42,29/12/2020 14:22,-54.17216667,-137.4143333,-54.17483333,-137.4376667,19755.06176,24757.61468,F
928,55S,Night,Lmeso,35,F,F,F,Bathylagus spp.,37098501,6,101,16.83333333,0.001583103,9.40E-05,0.001704205,0.00010124,30/12/2020 15:43,30/12/2020 17:43,-54.1705,-137.5628333,-54.19066667,-137.6135,59265.18528,63798.7744,F
986,55S,Day,Lmeso,36,F,F,F,Bathylagus spp.,37098501,7,78,11.14285714,0.001233032,0.000110657,0.001316118,0.000118113,31/12/2020 1:36,31/12/2020 3:36,-54.11333333,-137.5636667,-54.13416667,-137.6128333,59265.18528,63258.70388,F
1104,58S,Night,Meso,40,F,F,F,Bathylagus spp.,37098501,6,64,10.66666667,0.002591061,0.000242912,0.003239676,0.00030372,2/01/2021 14:15,2/01/2021 14:55,-57.98916667,-140.7125,-57.9815,-140.7343333,19755.06176,24700.30448,F
1141,58S,Day,Lmeso,41,F,F,F,Bathylagus spp.,37098501,2,37,18.5,0.000636488,3.44E-05,0.000624313,3.37E-05,4/01/2021 2:39,4/01/2021 4:39,-56.02316667,-140.6806667,-56.046,-140.7225,59265.18528,58131.46027,F
1188,58S,Night,Lmeso,42,F,F,F,Bathylagus spp.,37098501,7,45,6.428571429,0.000326131,5.07E-05,0.000759299,0.000118113,4/01/2021 12:38,4/01/2021 14:38,-56.0195,-140.6226667,-56.05616667,-140.745,59265.18528,137981.272,F
1281,58S,Night,Lmeso,46,F,F,F,Bathylagus spp.,37098501,7,25,3.571428571,0.000402231,0.000112625,0.000421833,0.000118113,6/01/2021 15:11,6/01/2021 17:11,-56.07033333,-140.4961667,-56.07683333,-140.5576667,59265.18528,62153.2972,F
1325,58S,Day,Lmeso,47,F,F,F,Bathylagus spp.,37098501,12,63,5.25,0.00121422,0.00023128,0.001063019,0.00020248,7/01/2021 4:55,7/01/2021 6:55,-56.07066667,-140.5386667,-56.0785,-140.589,59265.18528,51885.17818,F
1397,55S,Day,Targeted_850to750,52,F,F,F,Bathylagus spp.,37098501,5,14,2.8,0.000677517,0.00024197,0.000708679,0.0002531,9/01/2021 1:36,9/01/2021 2:16,-56.117,-140.4165,-56.117,-140.4373333,19755.06176,20663.67985,F
1426,58S,Night,Meso,53,F,F,F,Bathylagus spp.,37098501,2,8,4,0.000437006,0.000109252,0.00040496,0.00010124,9/01/2021 14:23,9/01/2021 15:03,-56.12733333,-140.3933333,-56.12916667,-140.4115,19755.06176,18306.38002,F
1448,NA,NA,NA,NA,F,F,F,Bathylagus spp.,37098501,8,119,14.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F
788,55S,Day,Lmeso,30,F,F,F,Benthalbella macropinna,37131751,2,3,1.5,2.72E-05,1.81E-05,0.00015186,0.00010124,27/12/2020 2:28,27/12/2020 3:08,-54.164,-137.2366667,-54.18383333,-137.337,19755.06176,110281.1743,F
1142,58S,Day,Lmeso,41,F,F,F,Benthalbella macropinna,37131751,1,22,22,0.000378453,1.72E-05,0.000371213,1.69E-05,4/01/2021 2:39,4/01/2021 4:39,-56.02316667,-140.6806667,-56.046,-140.7225,59265.18528,58131.46027,F
1326,58S,Day,Lmeso,47,F,F,F,Benthalbella macropinna,37131751,1,4,4,7.71E-05,1.93E-05,6.75E-05,1.69E-05,7/01/2021 4:55,7/01/2021 6:55,-56.07066667,-140.5386667,-56.0785,-140.589,59265.18528,51885.17818,F
1398,55S,Day,Targeted_850to750,52,F,F,F,Benthalbella macropinna,37131751,1,7,7,0.000338759,4.84E-05,0.00035434,5.06E-05,9/01/2021 1:36,9/01/2021 2:16,-56.117,-140.4165,-56.117,-140.4373333,19755.06176,20663.67985,F
37,NA,NA,NA,2,Ctenophore,Gelatinous_Active,G_nGB,Beroe spp.,12090901,0,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ctenophore
338,SOTS,Day,Epi,15,Ctenophore,Gelatinous_Active,G_nGB,Beroe spp.,12090901,1,200,200,0.008490354,4.25E-05,0.010123988,5.06E-05,17/12/2020 21:19,17/12/2020 21:59,-46.91733333,-140.6425,-46.929,-140.6516667,19755.06176,23556.14303,Ctenophore
