"","Taxa_updated","bin","count","proportion","X","abd_total_gm2_sp","abundance_per_bin"
"71","Lampanyctus australis","(51,56]",7,0.1,8,0.153547166666667,0.0153547166666667
"72","Lampanyctus australis","(56,60.6]",6,0.0857142857142857,8,0.153547166666667,0.0131611857142857
"73","Lampanyctus australis","(60.6,65]",8,0.114285714285714,8,0.153547166666667,0.0175482476190477
"74","Lampanyctus australis","(65,72.8]",6,0.0857142857142857,8,0.153547166666667,0.0131611857142857
"75","Lampanyctus australis","(72.8,80.3]",7,0.1,8,0.153547166666667,0.0153547166666667
"76","Lampanyctus australis","(80.3,84.4]",7,0.1,8,0.153547166666667,0.0153547166666667
"77","Lampanyctus australis","(84.4,94]",9,0.128571428571429,8,0.153547166666667,0.0197417785714286
"78","Lampanyctus australis","(94,100]",5,0.0714285714285714,8,0.153547166666667,0.0109676547619048
"79","Nannobrachium achirus","[27,48.4]",3,0.111111111111111,9,0.0405,0.0045
"80","Nannobrachium achirus","(48.4,62.4]",3,0.111111111111111,9,0.0405,0.0045
"81","Nannobrachium achirus","(62.4,69.8]",2,0.0740740740740741,9,0.0405,0.003
"82","Nannobrachium achirus","(69.8,74.8]",3,0.111111111111111,9,0.0405,0.0045
"83","Nannobrachium achirus","(74.8,80]",3,0.111111111111111,9,0.0405,0.0045
"84","Nannobrachium achirus","(80,85.6]",2,0.0740740740740741,9,0.0405,0.003
"85","Nannobrachium achirus","(85.6,101]",3,0.111111111111111,9,0.0405,0.0045
"86","Nannobrachium achirus","(101,108]",2,0.0740740740740741,9,0.0405,0.003
"87","Nannobrachium achirus","(108,125]",3,0.111111111111111,9,0.0405,0.0045
"88","Nannobrachium achirus","(125,167]",3,0.111111111111111,9,0.0405,0.0045
"89","Pyrosoma atlanticum","[100,164]",8,0.105263157894737,10,0.147643866666667,0.0155414596491228
"90","Pyrosoma atlanticum","(164,210]",9,0.118421052631579,10,0.147643866666667,0.0174841421052632
"91","Pyrosoma atlanticum","(210,231]",6,0.0789473684210526,10,0.147643866666667,0.0116560947368421
"92","Pyrosoma atlanticum","(231,245]",8,0.105263157894737,10,0.147643866666667,0.0155414596491228
"93","Pyrosoma atlanticum","(245,265]",8,0.105263157894737,10,0.147643866666667,0.0155414596491228
"94","Pyrosoma atlanticum","(265,295]",8,0.105263157894737,10,0.147643866666667,0.0155414596491228
"95","Pyrosoma atlanticum","(295,308]",6,0.0789473684210526,10,0.147643866666667,0.0116560947368421
"96","Pyrosoma atlanticum","(308,330]",8,0.105263157894737,10,0.147643866666667,0.0155414596491228
"97","Pyrosoma atlanticum","(330,365]",7,0.0921052631578947,10,0.147643866666667,0.0135987771929825
"98","Pyrosoma atlanticum","(365,530]",8,0.105263157894737,10,0.147643866666667,0.0155414596491228
"99","Sergestes spp","(36,40]",34,0.139344262295082,11,0.1670449,0.0232767483606557
"100","Sergestes spp","(30,34]",25,0.102459016393443,11,0.1670449,0.017115256147541
"101","Sergestes spp","(34,36]",22,0.0901639344262295,11,0.1670449,0.0150614254098361
"102","Sergestes spp","[12,17]",27,0.110655737704918,11,0.1670449,0.0184844766393443
"103","Sergestes spp","(17,26]",24,0.0983606557377049,11,0.1670449,0.0164306459016393
"104","Sergestes spp","(26,30]",25,0.102459016393443,11,0.1670449,0.017115256147541
"105","Sergestes spp","(40,44.1]",14,0.0573770491803279,11,0.1670449,0.00958454344262295
"106","Sergestes spp","(44.1,50]",30,0.122950819672131,11,0.1670449,0.0205383073770492
"107","Sergestes spp","(50,53]",21,0.0860655737704918,11,0.1670449,0.0143768151639344
"108","Sergestes spp","(53,78]",22,0.0901639344262295,11,0.1670449,0.0150614254098361
"109","Themisto spp","[6,8]",46,0.289308176100629,12,0.995541533333333,0.28801830524109
"110","Themisto spp","(8,9]",34,0.213836477987421,12,0.995541533333333,0.212883095178197
"111","Themisto spp","(9,10]",36,0.226415094339623,12,0.995541533333333,0.225405630188679
"112","Themisto spp","(10,11]",24,0.150943396226415,12,0.995541533333333,0.150270420125786
"113","Themisto spp","(11,12]",15,0.0943396226415094,12,0.995541533333333,0.0939190125786163
"114","Themisto spp","(12,19]",4,0.0251572327044025,12,0.995541533333333,0.0250450700209644
"115","Thysannoessa macura","[7,15]",16,0.173913043478261,13,2.53099685,0.440173365217391
"116","Thysannoessa macura","(15,16]",17,0.184782608695652,13,2.53099685,0.467684200543478
"117","Thysannoessa macura","(16,17]",30,0.326086956521739,13,2.53099685,0.825325059782609
"118","Thysannoessa macura","(17,18]",10,0.108695652173913,13,2.53099685,0.27510835326087
"119","Thysannoessa macura","(18.8,20]",14,0.152173913043478,13,2.53099685,0.385151694565217
"120","Thysannoessa macura","(20,29]",5,0.0543478260869565,13,2.53099685,0.137554176630435
