"","Taxa_updated","bin","count","proportion","X","weight_total_gm2_sp","biomass_per_bin_g"
"43","Chaetognath","(2.96,3.1]",100,0.0607164541590771,3,4.37988953333333,0.265931362072455
"44","Chaetognath","(3.1,3.3]",86,0.0522161505768063,3,4.37988953333333,0.228700971382311
"45","Chaetognath","(3.3,3.5]",127,0.0771098967820279,3,4.37988953333333,0.337732829832018
"46","Chaetognath","(3.5,3.6]",55,0.0333940497874924,3,4.37988953333333,0.14626224913985
"47","Chaetognath","(3.6,3.7]",49,0.0297510625379478,3,4.37988953333333,0.130306367415503
"48","Chaetognath","(3.7,4]",179,0.108682452944748,3,4.37988953333333,0.476017138109694
"49","Chaetognath","(4,4.2]",111,0.0673952641165756,3,4.37988953333333,0.295183811900425
"50","Chaetognath","(4.2,4.3]",49,0.0297510625379478,3,4.37988953333333,0.130306367415503
"51","Chaetognath","(4.3,4.5]",133,0.0807528840315726,3,4.37988953333333,0.353688711556365
"52","Chaetognath","(4.5,4.6]",50,0.0303582270795386,3,4.37988953333333,0.132965681036227
"53","Chaetognath","(4.6,4.8]",61,0.037037037037037,3,4.37988953333333,0.162218130864197
"54","Chaetognath","(4.8,5]",127,0.0771098967820279,3,4.37988953333333,0.337732829832018
"55","Chaetognath","(5,5.1]",38,0.0230722525804493,3,4.37988953333333,0.101053917587533
"56","Chaetognath","(5.1,5.4]",79,0.0479659987856709,3,4.37988953333333,0.210085776037239
"57","Chaetognath","(5.4,5.7]",92,0.0558591378263509,3,4.37988953333333,0.244656853106658
"58","Chaetognath","(5.7,6.2]",71,0.0431086824529447,3,4.37988953333333,0.188811267071443
"59","Chaetognath","(6.2,8.5]",75,0.0455373406193078,3,4.37988953333333,0.199448521554341
"60","Cranchidae","[0.5,1]",22,0.0990990990990991,4,0.233280133333333,0.023117851051051
"61","Cranchidae","(1,1.1]",7,0.0315315315315315,4,0.233280133333333,0.00735567987987987
"62","Cranchidae","(1.1,1.2]",11,0.0495495495495495,4,0.233280133333333,0.0115589255255255
"63","Cranchidae","(1.2,1.3]",10,0.045045045045045,4,0.233280133333333,0.0105081141141141
"64","Cranchidae","(1.3,1.4]",9,0.0405405405405405,4,0.233280133333333,0.00945730270270269
"65","Cranchidae","(1.4,1.5]",19,0.0855855855855856,4,0.233280133333333,0.0199654168168168
"66","Cranchidae","(1.54,1.6]",15,0.0675675675675676,4,0.233280133333333,0.0157621711711711
"67","Cranchidae","(1.6,1.7]",17,0.0765765765765766,4,0.233280133333333,0.017863793993994
"68","Cranchidae","(1.7,1.8]",13,0.0585585585585586,4,0.233280133333333,0.0136605483483483
"69","Cranchidae","(1.8,2]",20,0.0900900900900901,4,0.233280133333333,0.0210162282282282
"70","Cranchidae","(2,2.1]",7,0.0315315315315315,4,0.233280133333333,0.00735567987987987
"71","Cranchidae","(2.1,2.27]",5,0.0225225225225225,4,0.233280133333333,0.00525405705705705
"72","Cranchidae","(2.27,2.4]",12,0.0540540540540541,4,0.233280133333333,0.0126097369369369
"73","Cranchidae","(2.4,2.7]",11,0.0495495495495495,4,0.233280133333333,0.0115589255255255
"74","Cranchidae","(2.7,3.3]",11,0.0495495495495495,4,0.233280133333333,0.0115589255255255
"75","Cranchidae","(3.3,4.18]",10,0.045045045045045,4,0.233280133333333,0.0105081141141141
"76","Cranchidae","(4.18,5.29]",11,0.0495495495495495,4,0.233280133333333,0.0115589255255255
"77","Cranchidae","(5.29,9]",12,0.0540540540540541,4,0.233280133333333,0.0126097369369369
"78","Cyclothone spp","(3.5,3.6]",32,0.0581818181818182,5,0.43068385,0.0250579694545455
"79","Cyclothone spp","(3.6,3.7]",31,0.0563636363636364,5,0.43068385,0.0242749079090909
"80","Cyclothone spp","(4.2,4.3]",25,0.0454545454545455,5,0.43068385,0.0195765386363636
"81","Cyclothone spp","[0,2.15]",28,0.0509090909090909,5,0.43068385,0.0219257232727273
"82","Cyclothone spp","(2.15,2.5]",37,0.0672727272727273,5,0.43068385,0.0289732771818182
"83","Cyclothone spp","(2.5,2.8]",25,0.0454545454545455,5,0.43068385,0.0195765386363636
"84","Cyclothone spp","(2.8,3]",30,0.0545454545454545,5,0.43068385,0.0234918463636364
"85","Cyclothone spp","(3,3.2]",25,0.0454545454545455,5,0.43068385,0.0195765386363636
"86","Cyclothone spp","(3.2,3.4]",28,0.0509090909090909,5,0.43068385,0.0219257232727273
"87","Cyclothone spp","(3.4,3.5]",35,0.0636363636363636,5,0.43068385,0.0274071540909091
"88","Cyclothone spp","(3.7,3.8]",33,0.06,5,0.43068385,0.025841031
"89","Cyclothone spp","(3.8,4]",80,0.145454545454545,5,0.43068385,0.0626449236363636
"90","Cyclothone spp","(4,4.1]",22,0.04,5,0.43068385,0.017227354
"91","Cyclothone spp","(4.1,4.2]",30,0.0545454545454545,5,0.43068385,0.0234918463636364
"92","Cyclothone spp","(4.3,4.4]",29,0.0527272727272727,5,0.43068385,0.0227087848181818
"93","Cyclothone spp","(4.4,4.5]",14,0.0254545454545455,5,0.43068385,0.0109628616363636
"94","Cyclothone spp","(4.5,4.7]",24,0.0436363636363636,5,0.43068385,0.0187934770909091
"95","Cyclothone spp","(4.7,5.4]",22,0.04,5,0.43068385,0.017227354
"96","Euphausia similis","(1.4,1.5]",55,0.118534482758621,6,0.1969959,0.023350807112069
"97","Euphausia similis","(1.6,1.7]",64,0.137931034482759,6,0.1969959,0.0271718482758621
"98","Euphausia similis","(1.7,1.8]",59,0.127155172413793,6,0.1969959,0.0250490476293103
"99","Euphausia similis","[1,1.32]",24,0.0517241379310345,6,0.1969959,0.0101894431034483
"100","Euphausia similis","(1.32,1.4]",33,0.0711206896551724,6,0.1969959,0.0140104842672414
"101","Euphausia similis","(1.5,1.6]",52,0.112068965517241,6,0.1969959,0.0220771267241379
"102","Euphausia similis","(1.8,1.9]",31,0.0668103448275862,6,0.1969959,0.0131613640086207
"103","Euphausia similis","(1.9,2]",53,0.114224137931034,6,0.1969959,0.0225016868534483
"104","Euphausia similis","(2.04,2.2]",48,0.103448275862069,6,0.1969959,0.0203788862068966
"105","Euphausia similis","(2.2,2.4]",28,0.0603448275862069,6,0.1969959,0.0118876836206897
"106","Euphausia similis","(2.4,2.8]",17,0.0366379310344828,6,0.1969959,0.00721752219827586
"107","Gymnosomata","(1.4,1.5]",5,0.0675675675675676,7,0.012642,0.000854189189189189
"108","Gymnosomata","[0.4,0.5]",7,0.0945945945945946,7,0.012642,0.00119586486486486
"109","Gymnosomata","(0.5,0.63]",1,0.0135135135135135,7,0.012642,0.000170837837837838
"110","Gymnosomata","(0.63,0.9]",5,0.0675675675675676,7,0.012642,0.000854189189189189
"111","Gymnosomata","(0.9,1]",6,0.0810810810810811,7,0.012642,0.00102502702702703
"112","Gymnosomata","(1.02,1.19]",3,0.0405405405405405,7,0.012642,0.000512513513513514
"113","Gymnosomata","(1.19,1.4]",6,0.0810810810810811,7,0.012642,0.00102502702702703
"114","Gymnosomata","(1.59,1.7]",10,0.135135135135135,7,0.012642,0.00170837837837838
"115","Gymnosomata","(1.7,1.98]",1,0.0135135135135135,7,0.012642,0.000170837837837838
"116","Gymnosomata","(1.98,2]",11,0.148648648648649,7,0.012642,0.00187921621621622
"117","Gymnosomata","(2.08,2.2]",5,0.0675675675675676,7,0.012642,0.000854189189189189
"118","Gymnosomata","(2.2,2.5]",9,0.121621621621622,7,0.012642,0.00153754054054054
"119","Gymnosomata","(2.5,2.87]",1,0.0135135135135135,7,0.012642,0.000170837837837838
"120","Gymnosomata","(2.87,3.4]",4,0.0540540540540541,7,0.012642,0.000683351351351351
"121","Lampanyctus australis","[2.4,3.26]",4,0.0571428571428571,8,0.666495966666667,0.0380854838095238
"122","Lampanyctus australis","(3.26,4.5]",4,0.0571428571428571,8,0.666495966666667,0.0380854838095238
"123","Lampanyctus australis","(4.5,5.04]",3,0.0428571428571429,8,0.666495966666667,0.0285641128571429
"124","Lampanyctus australis","(5.04,5.1]",4,0.0571428571428571,8,0.666495966666667,0.0380854838095238
"125","Lampanyctus australis","(5.1,5.33]",3,0.0428571428571429,8,0.666495966666667,0.0285641128571429
"126","Lampanyctus australis","(5.33,5.6]",4,0.0571428571428571,8,0.666495966666667,0.0380854838095238
"127","Lampanyctus australis","(5.6,5.9]",4,0.0571428571428571,8,0.666495966666667,0.0380854838095238
"128","Lampanyctus australis","(5.9,6.06]",2,0.0285714285714286,8,0.666495966666667,0.0190427419047619
"129","Lampanyctus australis","(6.06,6.3]",5,0.0714285714285714,8,0.666495966666667,0.0476068547619048
"130","Lampanyctus australis","(6.3,6.5]",3,0.0428571428571429,8,0.666495966666667,0.0285641128571429
"131","Lampanyctus australis","(6.5,6.79]",2,0.0285714285714286,8,0.666495966666667,0.0190427419047619
"132","Lampanyctus australis","(6.79,7.28]",4,0.0571428571428571,8,0.666495966666667,0.0380854838095238
"133","Lampanyctus australis","(7.28,7.76]",3,0.0428571428571429,8,0.666495966666667,0.0285641128571429
"134","Lampanyctus australis","(7.76,8.03]",4,0.0571428571428571,8,0.666495966666667,0.0380854838095238
"135","Lampanyctus australis","(8.03,8.2]",4,0.0571428571428571,8,0.666495966666667,0.0380854838095238
"136","Lampanyctus australis","(8.2,8.44]",3,0.0428571428571429,8,0.666495966666667,0.0285641128571429
"137","Lampanyctus australis","(8.44,9]",4,0.0571428571428571,8,0.666495966666667,0.0380854838095238
"138","Lampanyctus australis","(9,9.4]",5,0.0714285714285714,8,0.666495966666667,0.0476068547619048
"139","Lampanyctus australis","(9.4,9.72]",1,0.0142857142857143,8,0.666495966666667,0.00952137095238096
"140","Lampanyctus australis","(9.72,10]",4,0.0571428571428571,8,0.666495966666667,0.0380854838095238
"141","Nannobrachium achirus","[2.7,4.46]",2,0.0740740740740741,9,0.065814,0.00487511111111111
"142","Nannobrachium achirus","(4.46,4.84]",1,0.037037037037037,9,0.065814,0.00243755555555556
"143","Nannobrachium achirus","(4.84,5.72]",1,0.037037037037037,9,0.065814,0.00243755555555556
"144","Nannobrachium achirus","(5.72,6.24]",2,0.0740740740740741,9,0.065814,0.00487511111111111
"145","Nannobrachium achirus","(6.24,6.85]",1,0.037037037037037,9,0.065814,0.00243755555555556
"146","Nannobrachium achirus","(6.85,6.98]",1,0.037037037037037,9,0.065814,0.00243755555555556
"147","Nannobrachium achirus","(6.98,7.22]",2,0.0740740740740741,9,0.065814,0.00487511111111111
"148","Nannobrachium achirus","(7.22,7.48]",1,0.037037037037037,9,0.065814,0.00243755555555556
"149","Nannobrachium achirus","(7.48,7.74]",1,0.037037037037037,9,0.065814,0.00243755555555556
"150","Nannobrachium achirus","(7.74,8]",2,0.0740740740740741,9,0.065814,0.00487511111111111
"151","Nannobrachium achirus","(8,8.5]",2,0.0740740740740741,9,0.065814,0.00487511111111111
"152","Nannobrachium achirus","(8.56,8.69]",1,0.037037037037037,9,0.065814,0.00243755555555556
"153","Nannobrachium achirus","(8.69,10.1]",2,0.0740740740740741,9,0.065814,0.00487511111111111
"154","Nannobrachium achirus","(10.1,10.7]",1,0.037037037037037,9,0.065814,0.00243755555555556
"155","Nannobrachium achirus","(10.7,10.8]",1,0.037037037037037,9,0.065814,0.00243755555555556
"156","Nannobrachium achirus","(10.8,12.2]",2,0.0740740740740741,9,0.065814,0.00487511111111111
"157","Nannobrachium achirus","(12.2,12.5]",1,0.037037037037037,9,0.065814,0.00243755555555556
"158","Nannobrachium achirus","(12.5,13.6]",1,0.037037037037037,9,0.065814,0.00243755555555556
"159","Nannobrachium achirus","(13.6,16.7]",2,0.0740740740740741,9,0.065814,0.00487511111111111
"160","Pyrosoma atlanticum","[10,15.8]",4,0.0526315789473684,10,31.4391997,1.65469472105263
"161","Pyrosoma atlanticum","(15.8,16.5]",4,0.0526315789473684,10,31.4391997,1.65469472105263
"162","Pyrosoma atlanticum","(16.5,17.4]",4,0.0526315789473684,10,31.4391997,1.65469472105263
"163","Pyrosoma atlanticum","(17.4,21]",5,0.0657894736842105,10,31.4391997,2.06836840131579
"164","Pyrosoma atlanticum","(21,21.9]",2,0.0263157894736842,10,31.4391997,0.827347360526316
"165","Pyrosoma atlanticum","(21.9,23.1]",4,0.0526315789473684,10,31.4391997,1.65469472105263
"166","Pyrosoma atlanticum","(23.1,24]",7,0.0921052631578947,10,31.4391997,2.8957157618421
"167","Pyrosoma atlanticum","(24,24.5]",1,0.0131578947368421,10,31.4391997,0.413673680263158
"168","Pyrosoma atlanticum","(24.5,25.3]",3,0.0394736842105263,10,31.4391997,1.24102104078947
"169","Pyrosoma atlanticum","(25.3,26.5]",5,0.0657894736842105,10,31.4391997,2.06836840131579
"170","Pyrosoma atlanticum","(26.5,27.4]",3,0.0394736842105263,10,31.4391997,1.24102104078947
"171","Pyrosoma atlanticum","(27.4,29.5]",5,0.0657894736842105,10,31.4391997,2.06836840131579
"172","Pyrosoma atlanticum","(29.5,30]",4,0.0526315789473684,10,31.4391997,1.65469472105263
"173","Pyrosoma atlanticum","(30,30.8]",2,0.0263157894736842,10,31.4391997,0.827347360526316
"174","Pyrosoma atlanticum","(30.8,32.1]",4,0.0526315789473684,10,31.4391997,1.65469472105263
"175","Pyrosoma atlanticum","(32.1,33]",4,0.0526315789473684,10,31.4391997,1.65469472105263
"176","Pyrosoma atlanticum","(33,34]",4,0.0526315789473684,10,31.4391997,1.65469472105263
"177","Pyrosoma atlanticum","(34,36.5]",3,0.0394736842105263,10,31.4391997,1.24102104078947
"178","Pyrosoma atlanticum","(36.5,39]",5,0.0657894736842105,10,31.4391997,2.06836840131579
"179","Pyrosoma atlanticum","(39,53]",3,0.0394736842105263,10,31.4391997,1.24102104078947
"180","Sergestes spp","(1.7,2]",11,0.0450819672131148,11,0.0704436,0.00317573606557377
"181","Sergestes spp","(3.5,3.6]",3,0.0122950819672131,11,0.0704436,0.000866109836065574
"182","Sergestes spp","(5,5.1]",9,0.0368852459016393,11,0.0704436,0.00259832950819672
"183","Sergestes spp","(3,3.2]",16,0.0655737704918033,11,0.0704436,0.00461925245901639
"184","Sergestes spp","(3.2,3.4]",9,0.0368852459016393,11,0.0704436,0.00259832950819672
"185","Sergestes spp","(3.4,3.5]",19,0.0778688524590164,11,0.0704436,0.00548536229508197
"186","Sergestes spp","(3.8,4]",19,0.0778688524590164,11,0.0704436,0.00548536229508197
"187","Sergestes spp","(4,4.1]",8,0.0327868852459016,11,0.0704436,0.0023096262295082
"188","Sergestes spp","[1.2,1.4]",14,0.0573770491803279,11,0.0704436,0.00404184590163934
"189","Sergestes spp","(1.4,1.7]",13,0.0532786885245902,11,0.0704436,0.00375314262295082
"190","Sergestes spp","(2,2.6]",13,0.0532786885245902,11,0.0704436,0.00375314262295082
"191","Sergestes spp","(2.6,2.88]",10,0.040983606557377,11,0.0704436,0.00288703278688525
"192","Sergestes spp","(2.88,3]",15,0.0614754098360656,11,0.0704436,0.00433054918032787
"193","Sergestes spp","(3.6,3.8]",15,0.0614754098360656,11,0.0704436,0.00433054918032787
"194","Sergestes spp","(4.1,4.41]",6,0.0245901639344262,11,0.0704436,0.00173221967213115
"195","Sergestes spp","(4.41,4.62]",12,0.0491803278688525,11,0.0704436,0.00346443934426229
"196","Sergestes spp","(4.62,5]",18,0.0737704918032787,11,0.0704436,0.00519665901639344
"197","Sergestes spp","(5.1,5.3]",12,0.0491803278688525,11,0.0704436,0.00346443934426229
"198","Sergestes spp","(5.3,5.97]",9,0.0368852459016393,11,0.0704436,0.00259832950819672
"199","Sergestes spp","(5.97,7.8]",13,0.0532786885245902,11,0.0704436,0.00375314262295082
"200","Themisto spp","(1,1.1]",24,0.150943396226415,12,0.101238633333333,0.015281303144654
"201","Themisto spp","(1.1,1.2]",15,0.0943396226415094,12,0.101238633333333,0.00955081446540877
"202","Themisto spp","(0.9,1]",36,0.226415094339623,12,0.101238633333333,0.0229219547169811
"203","Themisto spp","[0.6,0.7]",13,0.0817610062893082,12,0.101238633333333,0.0082773725366876
"204","Themisto spp","(0.7,0.8]",33,0.207547169811321,12,0.101238633333333,0.0210117918238993
"205","Themisto spp","(0.8,0.9]",34,0.213836477987421,12,0.101238633333333,0.0216485127882599
"206","Themisto spp","(1.2,1.9]",4,0.0251572327044025,12,0.101238633333333,0.00254688385744234
"207","Thysannoessa macura","(1.6,1.7]",30,0.326086956521739,13,0.1581908,0.0515839565217391
"208","Thysannoessa macura","(1.7,1.8]",10,0.108695652173913,13,0.1581908,0.017194652173913
"209","Thysannoessa macura","(1.5,1.6]",17,0.184782608695652,13,0.1581908,0.0292309086956522
"210","Thysannoessa macura","(1.9,2]",7,0.0760869565217391,13,0.1581908,0.0120362565217391
"211","Thysannoessa macura","[0.7,1.25]",5,0.0543478260869565,13,0.1581908,0.00859732608695652
"212","Thysannoessa macura","(1.25,1.5]",11,0.119565217391304,13,0.1581908,0.0189141173913043
"213","Thysannoessa macura","(1.88,1.9]",7,0.0760869565217391,13,0.1581908,0.0120362565217391
"214","Thysannoessa macura","(2.18,2.9]",5,0.0543478260869565,13,0.1581908,0.00859732608695652
