"","X","Site","daylight","Depth_Stratum","Deployment","Acc","Acc_ed","Taxa_updated","Length_mm","Length_cm","a","b","weight_g"
"102",17550,"58S","Night","Lmeso",46,16,"16","Atolla wyvillei",45,4.5,0.006,3,0.5468
"103",17551,"58S","Night","Lmeso",46,16,"16","Atolla wyvillei",52,5.2,0.006,3,0.8436
"104",17552,"58S","Night","Lmeso",46,16,"16","Atolla wyvillei",74,7.4,0.006,3,2.4313
"105",17553,"58S","Night","Lmeso",46,16,"16","Atolla wyvillei",67,6.7,0.006,3,1.8046
"106",17554,"58S","Night","Lmeso",46,16,"16","Atolla wyvillei",56,5.6,0.006,3,1.0537
"107",17555,"58S","Night","Lmeso",46,16,"16","Atolla wyvillei",37,3.7,0.006,3,0.3039
"108",17556,"58S","Night","Lmeso",46,16,"16","Atolla wyvillei",62,6.2,0.006,3,1.43
"109",17557,"58S","Night","Lmeso",46,16,"16","Atolla wyvillei",48,4.8,0.006,3,0.6636
"110",17558,"58S","Night","Lmeso",46,16,"16","Atolla wyvillei",36,3.6,0.006,3,0.2799
"111",2816,"SOTS","Day","Lmeso",14,1,"1","Atolla wyvillei",12,1.2,0.006,3,0.0104
"112",772,"SOTS","Day","Lmeso",7,18,"18","Atolla wyvillei",17,1.7,0.006,3,0.0295
"113",773,"SOTS","Day","Lmeso",7,18,"18","Atolla wyvillei",22,2.2,0.006,3,0.0639
"114",18165,"58S","Night","Lmeso",46,54,"54","Atolla wyvillei",15,1.5,0.006,3,0.0203
"115",18166,"58S","Night","Lmeso",46,54,"54","Atolla wyvillei",20,2,0.006,3,0.048
"116",18167,"58S","Night","Lmeso",46,54,"54","Atolla wyvillei",14,1.4,0.006,3,0.0165
"117",18168,"58S","Night","Lmeso",46,54,"54","Atolla wyvillei",12,1.2,0.006,3,0.0104
"118",10681,"55S","Night","Lmeso",35,37,"37","Atolla wyvillei",17,1.7,0.006,3,0.0295
"119",10682,"55S","Night","Lmeso",35,37,"37","Atolla wyvillei",26,2.6,0.006,3,0.1055
"120",10683,"55S","Night","Lmeso",35,37,"37","Atolla wyvillei",16,1.6,0.006,3,0.0246
"121",10684,"55S","Night","Lmeso",35,37,"37","Atolla wyvillei",9,0.9,0.006,3,0.0044
"122",10685,"55S","Night","Lmeso",35,37,"37","Atolla wyvillei",17,1.7,0.006,3,0.0295
"123",10686,"55S","Night","Lmeso",35,37,"37","Atolla wyvillei",7,0.7,0.006,3,0.0021
"124",10687,"55S","Night","Lmeso",35,37,"37","Atolla wyvillei",9,0.9,0.006,3,0.0044
"125",8456,"55S","Day","Lmeso",30,5,"5","Bathylagus spp",97,9.7,0.0009553,4.080598,10.1568
"126",8457,"55S","Day","Lmeso",30,5,"5","Bathylagus spp",95,9.5,0.0009553,4.080598,9.329
"127",8458,"55S","Day","Lmeso",30,5,"5","Bathylagus spp",60,6,0.0009553,4.080598,1.4304
"128",8459,"55S","Day","Lmeso",30,5,"5","Bathylagus spp",58,5.8,0.0009553,4.080598,1.2456
"129",6860,"55S","Day","Lmeso",28,14,"14","Bathylagus spp",115,11.5,0.0009553,4.080598,20.3433
"130",6861,"55S","Day","Lmeso",28,14,"14","Bathylagus spp",85,8.5,0.0009553,4.080598,5.9255
"131",6862,"55S","Day","Lmeso",28,14,"14","Bathylagus spp",90,9,0.0009553,4.080598,7.482
"132",6863,"55S","Day","Lmeso",28,14,"14","Bathylagus spp",95,9.5,0.0009553,4.080598,9.329
"133",6864,"55S","Day","Lmeso",28,14,"14","Bathylagus spp",80,8,0.0009553,4.080598,4.6269
"134",8455,"55S","Day","Lmeso",30,4,"4","Bathylagus spp",120,12,0.0009553,4.080598,24.2016
"135",9956,"55S","Night","Meso",34,9,"9","Bathylagus spp",80,8,0.0009553,4.080598,4.6269
"136",10183,"55S","Night","Lmeso",35,1,"1","Bathylagus spp",165,16.5,0.0009553,4.080598,88.7569
"137",10184,"55S","Night","Lmeso",35,1,"1","Bathylagus spp",106,10.6,0.0009553,4.080598,14.5882
"138",10185,"55S","Night","Lmeso",35,1,"1","Bathylagus spp",102,10.2,0.0009553,4.080598,12.469
"139",10186,"55S","Night","Lmeso",35,1,"1","Bathylagus spp",73,7.3,0.0009553,4.080598,3.1843
"140",11250,"55S","Day","Lmeso",36,21,"21","Bathylagus spp",145,14.5,0.0009553,4.080598,52.3861
"141",11251,"55S","Day","Lmeso",36,21,"21","Bathylagus spp",116,11.6,0.0009553,4.080598,21.0749
"142",14340,"58S","Night","Meso",40,25,"25","Bathylagus spp",135,13.5,0.0009553,4.080598,39.1361
"143",14341,"58S","Night","Meso",40,25,"25","Bathylagus spp",120,12,0.0009553,4.080598,24.2016
"144",14342,"58S","Night","Meso",40,25,"25","Bathylagus spp",82,8.2,0.0009553,4.080598,5.1174
"145",14343,"58S","Night","Meso",40,25,"25","Bathylagus spp",82,8.2,0.0009553,4.080598,5.1174
"146",14834,"58S","Night","Meso",40,25,"25","Bathylagus spp",136,13.6,0.0009553,4.080598,40.3326
"147",14835,"58S","Night","Meso",40,25,"25","Bathylagus spp",120,12,0.0009553,4.080598,24.2016
"148",14836,"58S","Night","Meso",40,25,"25","Bathylagus spp",82,8.2,0.0009553,4.080598,5.1174
"149",14837,"58S","Night","Meso",40,25,"25","Bathylagus spp",82,8.2,0.0009553,4.080598,5.1174
"150",17393,"58S","Night","Lmeso",46,1,"1","Bathylagus spp",110,11,0.0009553,4.080598,16.9685
"151",17394,"58S","Night","Lmeso",46,1,"1","Bathylagus spp",93,9.3,0.0009553,4.080598,8.5532
"152",17395,"58S","Night","Lmeso",46,1,"1","Bathylagus spp",91,9.1,0.0009553,4.080598,7.8271
"153",17396,"58S","Night","Lmeso",46,1,"1","Bathylagus spp",86,8.6,0.0009553,4.080598,6.2152
"154",17397,"58S","Night","Lmeso",46,1,"1","Bathylagus spp",70,7,0.0009553,4.080598,2.6832
"155",17398,"58S","Night","Lmeso",46,1,"1","Bathylagus spp",69,6.9,0.0009553,4.080598,2.5301
"156",17399,"58S","Night","Lmeso",46,1,"1","Bathylagus spp",69,6.9,0.0009553,4.080598,2.5301
"157",19325,"58S","Night","Meso",53,1,"1","Bathylagus spp",76,7.6,0.0009553,4.080598,3.7531
"158",19326,"58S","Night","Meso",53,1,"1","Bathylagus spp",81,8.1,0.0009553,4.080598,4.8675
"159",5275,"SOTS","Day","Lmeso",22,45,"45","Bathylagus spp",54,5.4,0.0009553,4.080598,0.9306
"160",5276,"SOTS","Day","Lmeso",22,45,"45","Bathylagus spp",30,3,0.0009553,4.080598,0.0845
"161",10187,"55S","Night","Lmeso",35,2,"2","Bathylagus spp",44,4.4,0.0009553,4.080598,0.4035
"162",10188,"55S","Night","Lmeso",35,2,"2","Bathylagus spp",37,3.7,0.0009553,4.080598,0.1989
"163",11252,"55S","Day","Lmeso",36,22,"22","Bathylagus spp",70,7,0.0009553,4.080598,2.6832
"164",11253,"55S","Day","Lmeso",36,22,"22","Bathylagus spp",55,5.5,0.0009553,4.080598,1.0029
"165",11254,"55S","Day","Lmeso",36,22,"22","Bathylagus spp",55,5.5,0.0009553,4.080598,1.0029
"166",11255,"55S","Day","Lmeso",36,22,"22","Bathylagus spp",40,4,0.0009553,4.080598,0.2735
"167",11256,"55S","Day","Lmeso",36,22,"22","Bathylagus spp",30,3,0.0009553,4.080598,0.0845
"168",14344,"58S","Night","Meso",40,26,"26","Bathylagus spp",40,4,0.0009553,4.080598,0.2735
"169",14838,"58S","Night","Meso",40,26,"26","Bathylagus spp",40,4,0.0009553,4.080598,0.2735
"170",15212,"58S","Day","Lmeso",41,11,"11","Bathylagus spp",124,12.4,0.0009553,4.080598,27.6665
"171",15213,"58S","Day","Lmeso",41,11,"11","Bathylagus spp",104,10.4,0.0009553,4.080598,13.4972
"172",15870,"58S","Night","Lmeso",42,2,"2","Bathylagus spp",102,10.2,0.0009553,4.080598,12.469
"173",15871,"58S","Night","Lmeso",42,2,"2","Bathylagus spp",96,9.6,0.0009553,4.080598,9.7363
"174",15872,"58S","Night","Lmeso",42,2,"2","Bathylagus spp",100,10,0.0009553,4.080598,11.5011
"175",15873,"58S","Night","Lmeso",42,2,"2","Bathylagus spp",67,6.7,0.0009553,4.080598,2.244
"176",15874,"58S","Night","Lmeso",42,2,"2","Bathylagus spp",65,6.5,0.0009553,4.080598,1.983
"177",15875,"58S","Night","Lmeso",42,2,"2","Bathylagus spp",60,6,0.0009553,4.080598,1.4304
"178",15876,"58S","Night","Lmeso",42,2,"2","Bathylagus spp",56,5.6,0.0009553,4.080598,1.0794
"179",8386,"55S","Night","Lmeso",29,67,"67","Bathylagus spp",42,4.2,0.0009553,4.080598,0.3337
"180",8387,"55S","Night","Lmeso",29,67,"67","Bathylagus spp",37,3.7,0.0009553,4.080598,0.1989
"181",8388,"55S","Night","Lmeso",29,67,"67","Bathylagus spp",49,4.9,0.0009553,4.080598,0.626
"182",8389,"55S","Night","Lmeso",29,67,"67","Bathylagus spp",39,3.9,0.0009553,4.080598,0.2466
"183",8390,"55S","Night","Lmeso",29,67,"67","Bathylagus spp",44,4.4,0.0009553,4.080598,0.4035
"184",8391,"55S","Night","Lmeso",29,67,"67","Bathylagus spp",38,3.8,0.0009553,4.080598,0.2218
"185",8392,"55S","Night","Lmeso",29,67,"67","Bathylagus spp",39,3.9,0.0009553,4.080598,0.2466
"186",8393,"55S","Night","Lmeso",29,67,"67","Bathylagus spp",35,3.5,0.0009553,4.080598,0.1586
"187",5169,"SOTS","Day","Lmeso",22,34,"34","Bathylagus spp",52,5.2,0.0009553,4.080598,0.7977
"188",5170,"SOTS","Day","Lmeso",22,34,"34","Bathylagus spp",61,6.1,0.0009553,4.080598,1.5302
"189",5171,"SOTS","Day","Lmeso",22,34,"34","Bathylagus spp",67,6.7,0.0009553,4.080598,2.244
"190",2265,"SOTS","Night","Lmeso",13,33,"33","Bathylagus spp",42,4.2,0.0009553,4.080598,0.3337
"191",257,"SOTS","Night","Epi",5,14,"14","Cranchidae",40,4,0.006,3,0.384
"192",258,"SOTS","Night","Epi",5,14,"14","Cranchidae",18,1.8,0.006,3,0.035
"193",259,"SOTS","Night","Epi",5,14,"14","Cranchidae",51,5.1,0.006,3,0.7959
"194",291,"SOTS","Night","Epi",5,25,"25","Cranchidae",11,1.1,0.006,3,0.008
"195",523,"SOTS","Day","Lmeso",7,34,"34","Cranchidae",37,3.7,0.006,3,0.3039
"196",1129,"SOTS","Day","Epi",8,4,"4","Cranchidae",33,3.3,0.006,3,0.2156
"197",1130,"SOTS","Day","Epi",8,4,"4","Cranchidae",27,2.7,0.006,3,0.1181
"198",1663,"SOTS","Night","Epi",11,6,"6","Cranchidae",24,2.4,0.006,3,0.0829
"199",1664,"SOTS","Night","Epi",11,6,"6","Cranchidae",20,2,0.006,3,0.048
"200",1665,"SOTS","Night","Epi",11,6,"6","Cranchidae",39,3.9,0.006,3,0.3559
"201",1666,"SOTS","Night","Epi",11,6,"6","Cranchidae",35,3.5,0.006,3,0.2572
"202",1667,"SOTS","Night","Epi",11,6,"6","Cranchidae",24,2.4,0.006,3,0.0829
"203",1668,"SOTS","Night","Epi",11,6,"6","Cranchidae",21,2.1,0.006,3,0.0556
"204",1669,"SOTS","Night","Epi",11,6,"6","Cranchidae",26,2.6,0.006,3,0.1055
"205",1670,"SOTS","Night","Epi",11,6,"6","Cranchidae",20,2,0.006,3,0.048
"206",1671,"SOTS","Night","Epi",11,6,"6","Cranchidae",31,3.1,0.006,3,0.1787
"207",1672,"SOTS","Night","Epi",11,6,"6","Cranchidae",27,2.7,0.006,3,0.1181
"208",1673,"SOTS","Night","Epi",11,6,"6","Cranchidae",24,2.4,0.006,3,0.0829
"209",1674,"SOTS","Night","Epi",11,6,"6","Cranchidae",20,2,0.006,3,0.048
"210",1675,"SOTS","Night","Epi",11,6,"6","Cranchidae",22,2.2,0.006,3,0.0639
"211",1676,"SOTS","Night","Epi",11,6,"6","Cranchidae",17,1.7,0.006,3,0.0295
"212",1677,"SOTS","Night","Epi",11,6,"6","Cranchidae",23,2.3,0.006,3,0.073
"213",1678,"SOTS","Night","Epi",11,6,"6","Cranchidae",20,2,0.006,3,0.048
"214",1679,"SOTS","Night","Epi",11,6,"6","Cranchidae",17,1.7,0.006,3,0.0295
"215",1680,"SOTS","Night","Epi",11,6,"6","Cranchidae",15,1.5,0.006,3,0.0203
"216",1681,"SOTS","Night","Epi",11,6,"6","Cranchidae",18,1.8,0.006,3,0.035
"217",1682,"SOTS","Night","Epi",11,6,"6","Cranchidae",15,1.5,0.006,3,0.0203
"218",1683,"SOTS","Night","Epi",11,6,"6","Cranchidae",22,2.2,0.006,3,0.0639
"219",1684,"SOTS","Night","Epi",11,6,"6","Cranchidae",19,1.9,0.006,3,0.0412
"220",1685,"SOTS","Night","Epi",11,6,"6","Cranchidae",21,2.1,0.006,3,0.0556
"221",1686,"SOTS","Night","Epi",11,6,"6","Cranchidae",17,1.7,0.006,3,0.0295
"222",1687,"SOTS","Night","Epi",11,6,"6","Cranchidae",18,1.8,0.006,3,0.035
"223",1688,"SOTS","Night","Epi",11,6,"6","Cranchidae",14,1.4,0.006,3,0.0165
"224",1689,"SOTS","Night","Epi",11,6,"6","Cranchidae",20,2,0.006,3,0.048
"225",1690,"SOTS","Night","Epi",11,6,"6","Cranchidae",16,1.6,0.006,3,0.0246
"226",1691,"SOTS","Night","Epi",11,6,"6","Cranchidae",21,2.1,0.006,3,0.0556
"227",1692,"SOTS","Night","Epi",11,6,"6","Cranchidae",17,1.7,0.006,3,0.0295
"228",1693,"SOTS","Night","Epi",11,6,"6","Cranchidae",23,2.3,0.006,3,0.073
"229",1694,"SOTS","Night","Epi",11,6,"6","Cranchidae",19,1.9,0.006,3,0.0412
"230",1695,"SOTS","Night","Epi",11,6,"6","Cranchidae",17,1.7,0.006,3,0.0295
"231",1696,"SOTS","Night","Epi",11,6,"6","Cranchidae",14,1.4,0.006,3,0.0165
"232",1697,"SOTS","Night","Epi",11,6,"6","Cranchidae",18,1.8,0.006,3,0.035
"233",1698,"SOTS","Night","Epi",11,6,"6","Cranchidae",16,1.6,0.006,3,0.0246
"234",1699,"SOTS","Night","Epi",11,6,"6","Cranchidae",19,1.9,0.006,3,0.0412
"235",1700,"SOTS","Night","Epi",11,6,"6","Cranchidae",16,1.6,0.006,3,0.0246
"236",1701,"SOTS","Night","Epi",11,6,"6","Cranchidae",15,1.5,0.006,3,0.0203
"237",1702,"SOTS","Night","Epi",11,6,"6","Cranchidae",13,1.3,0.006,3,0.0132
"238",1703,"SOTS","Night","Epi",11,6,"6","Cranchidae",16,1.6,0.006,3,0.0246
"239",1704,"SOTS","Night","Epi",11,6,"6","Cranchidae",13,1.3,0.006,3,0.0132
"240",1705,"SOTS","Night","Epi",11,6,"6","Cranchidae",13,1.3,0.006,3,0.0132
"241",1706,"SOTS","Night","Epi",11,6,"6","Cranchidae",11,1.1,0.006,3,0.008
"242",1707,"SOTS","Night","Epi",11,6,"6","Cranchidae",10,1,0.006,3,0.006
"243",1708,"SOTS","Night","Epi",11,6,"6","Cranchidae",8,0.8,0.006,3,0.0031
"244",1709,"SOTS","Night","Epi",11,6,"6","Cranchidae",18,1.8,0.006,3,0.035
"245",1710,"SOTS","Night","Epi",11,6,"6","Cranchidae",15,1.5,0.006,3,0.0203
"246",1711,"SOTS","Night","Epi",11,6,"6","Cranchidae",12,1.2,0.006,3,0.0104
"247",1712,"SOTS","Night","Epi",11,6,"6","Cranchidae",9,0.9,0.006,3,0.0044
"248",1713,"SOTS","Night","Epi",11,6,"6","Cranchidae",10,1,0.006,3,0.006
"249",1714,"SOTS","Night","Epi",11,6,"6","Cranchidae",9,0.9,0.006,3,0.0044
"250",1715,"SOTS","Night","Epi",11,6,"6","Cranchidae",8,0.8,0.006,3,0.0031
"251",1716,"SOTS","Night","Epi",11,6,"6","Cranchidae",6,0.6,0.006,3,0.0013
"252",1717,"SOTS","Night","Epi",11,6,"6","Cranchidae",6,0.6,0.006,3,0.0013
"253",1718,"SOTS","Night","Epi",11,6,"6","Cranchidae",5,0.5,0.006,3,8e-04
"254",1834,"SOTS","Night","Meso",12,29,"29","Cranchidae",17,1.7,0.006,3,0.0295
"255",1835,"SOTS","Night","Meso",12,29,"29","Cranchidae",12,1.2,0.006,3,0.0104
"256",1836,"SOTS","Night","Meso",12,29,"29","Cranchidae",15,1.5,0.006,3,0.0203
"257",1837,"SOTS","Night","Meso",12,29,"29","Cranchidae",10,1,0.006,3,0.006
"258",1838,"SOTS","Night","Meso",12,29,"29","Cranchidae",15,1.5,0.006,3,0.0203
"259",1839,"SOTS","Night","Meso",12,29,"29","Cranchidae",11,1.1,0.006,3,0.008
"260",1840,"SOTS","Night","Meso",12,29,"29","Cranchidae",9,0.9,0.006,3,0.0044
"261",1841,"SOTS","Night","Meso",12,29,"29","Cranchidae",6,0.6,0.006,3,0.0013
"262",2240,"SOTS","Night","Lmeso",13,21,"21","Cranchidae",33,3.3,0.006,3,0.2156
"263",2241,"SOTS","Night","Lmeso",13,21,"21","Cranchidae",45,4.5,0.006,3,0.5468
"264",2242,"SOTS","Night","Lmeso",13,21,"21","Cranchidae",48,4.8,0.006,3,0.6636
