Voyage,Deployment,Accession number,Species,Specimen number,Box,Length (mm),Weight (g),,,,,,,,,,,,,av. Weight catch comp,,
IN2020_V08,7,5,Cyclothone,44,2,39,0.1,,,,,,,,,,,,,,,
IN2020_V08,14,27,Cyclothone,60,2,39,0.05,,,,,,,,,,,,,,,
IN2020_V08,7,5,Cyclothone,22,1,40,0.1,,,,,,,,,,,,,,,
IN2020_V08,7,5,Cyclothone,29,1,40,0.1,,,,,,,,,,,,,,,
IN2020_V08,7,5,Cyclothone,34,2,40,0.1,,,,,,,,,,,,,,,
IN2020_V08,14,27,Cyclothone,57,2,40,0.05,,,,,,,,,,,,,,,
IN2020_V08,7,5,Cyclothone,25,1,41,0.2,,,,,,,,,,,,,,,
IN2020_V08,14,27,Cyclothone,47,2,41,0.1,,,,,,,,,,,,,,,
IN2020_V08,7,5,Cyclothone,31,2,42,0.1,,,,,,,,,,,,,,,
IN2020_V08,7,5,Cyclothone,38,2,43,0.1,,,,,,,,,,,,,,,
IN2020_V08,14,27,Cyclothone,58,2,43,0.1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.098360656,,,,,,,,,,,,,,,
